loc,c,d,m
LAPU-LAPU CITY,434,2,7
LAPU-LAPU CITY,838,6,8
LAPU-LAPU CITY,672,59,9
LAPU-LAPU CITY,700,64,10
LAPU-LAPU CITY,854,7,11
LAPU-LAPU CITY,1054,3,12
LAS PINAS CITY,399,2,1
LAS PINAS CITY,365,2,2
LAS PINAS CITY,199,0,3
LAS PINAS CITY,71,0,4
LAS PINAS CITY,44,0,5
LAS PINAS CITY,71,1,6
LAS PINAS CITY,225,0,7
LAS PINAS CITY,511,2,8
LAS PINAS CITY,781,56,9
LAS PINAS CITY,572,39,10
LAS PINAS CITY,503,2,11
LAS PINAS CITY,373,3,12
LEYTE,1123,5,1
LEYTE,1216,2,2
LEYTE,877,1,3
LEYTE,558,3,4
LEYTE,473,4,5
LEYTE,871,12,6
LEYTE,2289,10,7
LEYTE,2830,11,8
LEYTE,1811,35,9
LEYTE,1206,51,10
LEYTE,750,3,11
LEYTE,932,5,12
LUCENA CITY,347,2,1
LUCENA CITY,299,0,2
LUCENA CITY,147,1,3
LUCENA CITY,123,0,4
LUCENA CITY,61,0,5
LUCENA CITY,78,0,6
LUCENA CITY,139,0,7
LUCENA CITY,297,3,8
LUCENA CITY,424,2,9
LUCENA CITY,335,1,10
LUCENA CITY,192,1,11
LUCENA CITY,191,0,12
MAGUINDANAO,271,1,1
MAGUINDANAO,277,6,2
MAGUINDANAO,280,4,3
MAGUINDANAO,206,1,4
MAGUINDANAO,303,3,5
MAGUINDANAO,549,7,6
MAGUINDANAO,872,4,7
MAGUINDANAO,542,4,8
MAGUINDANAO,344,60,9
MAGUINDANAO,236,61,10
MAGUINDANAO,204,4,11
MAGUINDANAO,209,3,12
MAKATI CITY,346,1,1
MAKATI CITY,262,0,2
MAKATI CITY,230,2,3
MAKATI CITY,128,0,4
MAKATI CITY,127,0,5
MAKATI CITY,138,1,6
MAKATI CITY,270,2,7
MAKATI CITY,455,0,8
MAKATI CITY,701,49,9
MAKATI CITY,489,39,10
MAKATI CITY,361,8,11
MAKATI CITY,288,3,12
MALABON CITY,418,0,1
MALABON CITY,307,2,2
MALABON CITY,226,2,3
MALABON CITY,90,0,4
MALABON CITY,88,1,5
MALABON CITY,114,0,6
MALABON CITY,282,0,7
MALABON CITY,588,6,8
MALABON CITY,1340,77,9
MALABON CITY,1141,78,10
MALABON CITY,766,14,11
MALABON CITY,531,2,12
MANDALUYONG CITY,332,0,1
MANDALUYONG CITY,264,0,2
MANDALUYONG CITY,157,1,3
MANDALUYONG CITY,78,0,4
MANDALUYONG CITY,55,0,5
MANDALUYONG CITY,91,0,6
MANDALUYONG CITY,175,0,7
MANDALUYONG CITY,260,0,8
MANDALUYONG CITY,364,61,9
MANDALUYONG CITY,341,74,10
MANDALUYONG CITY,213,4,11
MANDALUYONG CITY,161,0,12
MANDAUE CITY,678,3,1
MANDAUE CITY,798,2,2
MANDAUE CITY,338,2,3
MANDAUE CITY,131,2,4
MANDAUE CITY,77,1,5
MANDAUE CITY,120,1,6
MANDAUE CITY,311,3,7
MANDAUE CITY,530,2,8
MANDAUE CITY,557,29,9
MANDAUE CITY,657,50,10
MANDAUE CITY,776,7,11
MANDAUE CITY,713,2,12
MANILA CITY,1174,5,1
MANILA CITY,991,3,2
MANILA CITY,591,2,3
MANILA CITY,424,3,4
MANILA CITY,280,0,5
MANILA CITY,336,2,6
MANILA CITY,847,2,7
MANILA CITY,1403,4,8
MANILA CITY,2206,220,9
MANILA CITY,1956,308,10
MANILA CITY,1539,8,11
MANILA CITY,1301,1,12
MARIKINA CITY,346,0,1
MARIKINA CITY,339,7,2
MARIKINA CITY,157,0,3
MARIKINA CITY,92,0,4
MARIKINA CITY,51,0,5
MARIKINA CITY,80,0,6
MARIKINA CITY,221,2,7
MARIKINA CITY,456,1,8
MARIKINA CITY,602,51,9
MARIKINA CITY,418,54,10
MARIKINA CITY,377,9,11
MARIKINA CITY,334,3,12
MARINDUQUE,113,0,1
MARINDUQUE,151,0,2
MARINDUQUE,149,1,3
MARINDUQUE,75,0,4
MARINDUQUE,45,0,5
MARINDUQUE,88,0,6
MARINDUQUE,222,0,7
MARINDUQUE,297,1,8
MARINDUQUE,276,0,9
MARINDUQUE,112,1,10
MARINDUQUE,62,1,11
MARINDUQUE,106,0,12
MASBATE,131,0,1
MASBATE,135,0,2
MASBATE,130,2,3
MASBATE,79,0,4
MASBATE,60,0,5
MASBATE,70,0,6
MASBATE,178,3,7
MASBATE,281,3,8
MASBATE,321,5,9
MASBATE,247,2,10
MASBATE,159,0,11
MASBATE,152,0,12
MISAMIS OCCIDENTAL,745,1,1
MISAMIS OCCIDENTAL,789,2,2
MISAMIS OCCIDENTAL,778,6,3
MISAMIS OCCIDENTAL,632,8,4
MISAMIS OCCIDENTAL,571,3,5
MISAMIS OCCIDENTAL,876,5,6
MISAMIS OCCIDENTAL,1331,6,7
MISAMIS OCCIDENTAL,1191,14,8
MISAMIS OCCIDENTAL,1023,30,9
MISAMIS OCCIDENTAL,722,34,10
MISAMIS OCCIDENTAL,659,2,11
MISAMIS OCCIDENTAL,765,5,12
MISAMIS ORIENTAL,1118,4,1
MISAMIS ORIENTAL,1043,4,2
MISAMIS ORIENTAL,982,9,3
MISAMIS ORIENTAL,603,3,4
